Episode: 143	Total Reward: -130.0	Explore P: 0.3868	Training Loss: 12.4879	Buffer size: 9724.0000
Episode: 144	Total Reward: -125.0	Explore P: 0.3830	Training Loss: 8.0863	Buffer size: 9824.0000
Episode: 145	Total Reward: 92.0	Explore P: 0.3827	Training Loss: 11.9171	Buffer size: 9833.0000
Episode: 146	Total Reward: -125.0	Explore P: 0.3790	Training Loss: 13.9868	Buffer size: 9933.0000
Episode: 147	Total Reward: 93.0	Explore P: 0.3787	Training Loss: 11.4576	Buffer size: 9941.0000
Episode: 148	Total Reward: -125.0	Explore P: 0.3750	Training Loss: 47.3669	Buffer size: 10000.0000
Episode: 149	Total Reward: 37.0	Explore P: 0.3731	Training Loss: 35.5327	Buffer size: 10000.0000
Episode: 150	Total Reward: 65.0	Explore P: 0.3719	Training Loss: 11.2142	Buffer size: 10000.0000
Episode: 151	Total Reward: 38.0	Explore P: 0.3700	Training Loss: 13.6935	Buffer size: 10000.0000
Episode: 152	Total Reward: 92.0	Explore P: 0.3697	Training Loss: 12.8197	Buffer size: 10000.0000
Episode: 153	Total Reward: 1.0	Explore P: 0.3667	Training Loss: 23.5205	Buffer size: 10000.0000
Episode: 154	Total Reward: 73.0	Explore P: 0.3658	Training Loss: 22.4845	Buffer size: 10000.0000
Episode: 155	Total Reward: -125.0	Explore P: 0.3623	Training Loss: 13.5573	Buffer size: 10000.0000
Episode: 156	Total Reward: -125.0	Explore P: 0.3588	Training Loss: 16.3271	Buffer size: 10000.0000
Episode: 157	Total Reward: 27.0	Explore P: 0.3568	Training Loss: 7.4454	Buffer size: 10000.0000
Episode: 158	Total Reward: -125.0	Explore P: 0.3533	Training Loss: 35.5604	Buffer size: 10000.0000
Episode: 159	Total Reward: 30.0	Explore P: 0.3514	Training Loss: 17.8289	Buffer size: 10000.0000
Episode: 160	Total Reward: 95.0	Explore P: 0.3512	Training Loss: 12.3737	Buffer size: 10000.0000
Episode: 161	Total Reward: 22.0	Explore P: 0.3490	Training Loss: 25.8170	Buffer size: 10000.0000
Episode: 162	Total Reward: -120.0	Explore P: 0.3456	Training Loss: 23.3721	Buffer size: 10000.0000
Episode: 163	Total Reward: 39.0	Explore P: 0.3439	Training Loss: 11.4980	Buffer size: 10000.0000
Episode: 164	Total Reward: 44.0	Explore P: 0.3423	Training Loss: 13.4002	Buffer size: 10000.0000
Episode: 165	Total Reward: 95.0	Explore P: 0.3421	Training Loss: 13.7136	Buffer size: 10000.0000
Episode: 166	Total Reward: -130.0	Explore P: 0.3388	Training Loss: 13.4159	Buffer size: 10000.0000
Episode: 167	Total Reward: 49.0	Explore P: 0.3374	Training Loss: 10.8260	Buffer size: 10000.0000
Episode: 168	Total Reward: 92.0	Explore P: 0.3371	Training Loss: 14.9162	Buffer size: 10000.0000
Episode: 169	Total Reward: 27.0	Explore P: 0.3352	Training Loss: 19.4027	Buffer size: 10000.0000
Episode: 170	Total Reward: 19.0	Explore P: 0.3330	Training Loss: 13.1282	Buffer size: 10000.0000
Episode: 171	Total Reward: 91.0	Explore P: 0.3327	Training Loss: 14.7419	Buffer size: 10000.0000
Episode: 172	Total Reward: -130.0	Explore P: 0.3295	Training Loss: 12.6585	Buffer size: 10000.0000
Episode: 173	Total Reward: 68.0	Explore P: 0.3286	Training Loss: 6.2456	Buffer size: 10000.0000
Episode: 174	Total Reward: 92.0	Explore P: 0.3283	Training Loss: 5.3676	Buffer size: 10000.0000
Episode: 175	Total Reward: 68.0	Explore P: 0.3274	Training Loss: 17.6975	Buffer size: 10000.0000
Episode: 176	Total Reward: 92.0	Explore P: 0.3272	Training Loss: 8.7397	Buffer size: 10000.0000
Episode: 177	Total Reward: -125.0	Explore P: 0.3240	Training Loss: 13.1683	Buffer size: 10000.0000
Episode: 178	Total Reward: -16.0	Explore P: 0.3211	Training Loss: 16.4386	Buffer size: 10000.0000
Episode: 179	Total Reward: 49.0	Explore P: 0.3198	Training Loss: 8.5694	Buffer size: 10000.0000
Episode: 180	Total Reward: -5.0	Explore P: 0.3172	Training Loss: 23.5840	Buffer size: 10000.0000
Episode: 181	Total Reward: 64.0	Explore P: 0.3162	Training Loss: 8.9235	Buffer size: 10000.0000
Episode: 182	Total Reward: 57.0	Explore P: 0.3152	Training Loss: 20.5856	Buffer size: 10000.0000
Episode: 183	Total Reward: -8.0	Explore P: 0.3124	Training Loss: 11.1115	Buffer size: 10000.0000
Episode: 184	Total Reward: -120.0	Explore P: 0.3094	Training Loss: 34.9822	Buffer size: 10000.0000
Episode: 185	Total Reward: 63.0	Explore P: 0.3085	Training Loss: 9.7405	Buffer size: 10000.0000
Episode: 186	Total Reward: 50.0	Explore P: 0.3072	Training Loss: 14.2378	Buffer size: 10000.0000
Episode: 187	Total Reward: 41.0	Explore P: 0.3057	Training Loss: 26.5209	Buffer size: 10000.0000
Episode: 188	Total Reward: 47.0	Explore P: 0.3044	Training Loss: 8.7895	Buffer size: 10000.0000
Episode: 189	Total Reward: -125.0	Explore P: 0.3015	Training Loss: 8.7892	Buffer size: 10000.0000
Episode: 190	Total Reward: 17.0	Explore P: 0.2995	Training Loss: 17.4410	Buffer size: 10000.0000
Episode: 191	Total Reward: 12.0	Explore P: 0.2974	Training Loss: 13.9250	Buffer size: 10000.0000
Episode: 192	Total Reward: -125.0	Explore P: 0.2945	Training Loss: 16.8910	Buffer size: 10000.0000
Episode: 193	Total Reward: -130.0	Explore P: 0.2917	Training Loss: 8.2646	Buffer size: 10000.0000
Episode: 194	Total Reward: 13.0	Explore P: 0.2896	Training Loss: 16.5138	Buffer size: 10000.0000
Episode: 195	Total Reward: 41.0	Explore P: 0.2882	Training Loss: 41.2538	Buffer size: 10000.0000
