Wall time,Step,Value
1747403665.247946,446,-130.0
1747403681.3674219,447,-130.0
1747403697.842861,448,-125.0
1747403713.9325051,449,-24.0
1747403725.695977,450,9.0
1747403741.751729,451,-130.0
1747403757.9493382,452,-130.0
1747403774.138613,453,-130.0
1747403775.2822201,454,95.0
1747403791.158727,455,-130.0
1747403807.02269,456,-125.0
1747403808.1188622,457,95.0
1747403823.831834,458,-125.0
1747403839.756381,459,-125.0
1747403855.478952,460,-130.0
1747403862.783953,461,46.0
1747403876.858329,462,-8.0
1747403892.778559,463,-125.0
1747403908.9457002,464,-125.0
1747403926.168677,465,-125.0
1747403936.56806,466,23.0
1747403953.152147,467,-130.0
1747403956.555199,468,76.0
1747403962.1782,469,67.0
1747403979.037848,470,-130.0
1747404266.7870421,471,-130.0
1747404517.089754,472,-125.0
1747404523.696741,473,68.0
1747404541.738028,474,-125.0
1747404559.086924,475,-130.0
1747404570.8429031,476,16.0
1747404587.463072,477,-130.0
1747404603.319542,478,-125.0
1747404619.541701,479,-125.0
1747404636.168326,480,-125.0
1747404652.780538,481,-130.0
1747404658.44208,482,61.0
1747404674.901865,483,-125.0
1747404691.8956642,484,-130.0
1747404692.974088,485,95.0
1747404709.192653,486,-135.0
1747404726.1919842,487,-125.0
1747404742.624736,488,-130.0
1747404748.944881,489,60.0
1747404765.546433,490,-130.0
1747404766.760884,491,94.0
1747404783.108354,492,-125.0
1747404799.612767,493,-130.0
1747404811.686974,494,8.0
1747404828.530622,495,-130.0
1747404838.440476,496,29.0
1747404839.7238321,497,94.0
1747404850.227465,498,26.0
1747404854.4491,499,72.0
1747404860.935585,500,64.0
1747404877.410914,501,-130.0
